,chromosome,start,end,strand,A549,GM12878,HELAS3,HEPG2,K562
0,chr1,839687,839887,.,1,0,1,0,1
1,chr1,840711,840911,.,0,1,1,0,1
2,chr1,845481,845681,.,0,0,0,0,1
3,chr1,855755,855955,.,0,0,1,0,0
4,chr1,856613,856813,.,0,0,1,0,1
5,chr1,858347,858547,.,0,0,1,0,0
6,chr1,918404,918604,.,0,1,1,1,1
7,chr1,936759,936959,.,0,0,1,1,0
8,chr1,941981,942181,.,0,0,0,1,0
9,chr1,945789,945989,.,0,1,1,1,1
10,chr1,956564,956764,.,1,1,1,1,1
11,chr1,993563,993763,.,0,0,0,1,1
12,chr1,994202,994402,.,0,1,1,1,1
13,chr1,1004665,1004865,.,1,1,1,1,1
14,chr1,1005320,1005520,.,0,0,0,0,1
15,chr1,1008727,1008927,.,0,0,0,0,1
16,chr1,1014758,1014958,.,1,1,1,1,1
17,chr1,1060899,1061099,.,0,0,0,1,1
18,chr1,1063878,1064078,.,0,0,0,1,0
19,chr1,1070843,1071043,.,0,0,1,0,1
20,chr1,1093853,1094053,.,0,1,0,0,0
21,chr1,1107201,1107401,.,0,1,0,0,0
22,chr1,1136297,1136497,.,0,1,0,0,1
23,chr1,1136776,1136976,.,0,1,0,0,1
24,chr1,1144348,1144548,.,0,1,0,0,0
25,chr1,1173560,1173760,.,0,1,0,1,0
26,chr1,1186366,1186566,.,0,1,0,0,0
27,chr1,1265728,1265928,.,0,0,1,0,1
28,chr1,1283038,1283238,.,0,0,1,1,0
29,chr1,1286779,1286979,.,1,0,1,0,0
30,chr1,1294776,1294976,.,0,0,1,0,0
31,chr1,1295925,1296125,.,1,0,1,1,1
32,chr1,1343445,1343645,.,0,1,1,1,1
33,chr1,1368519,1368719,.,0,0,1,1,1
34,chr1,1609749,1609949,.,0,1,0,0,0
35,chr1,1611859,1612059,.,0,0,0,0,1
36,chr1,1706906,1707106,.,0,1,0,0,0
37,chr1,1708879,1709079,.,0,1,1,1,1
38,chr1,1714465,1714665,.,0,1,0,0,1
39,chr1,1744331,1744531,.,0,1,0,1,1
40,chr1,1772057,1772257,.,0,0,1,0,0
41,chr1,1793744,1793944,.,0,0,1,1,0
42,chr1,1803173,1803373,.,1,1,0,1,1
43,chr1,1814934,1815134,.,1,1,1,1,1
44,chr1,1840567,1840767,.,0,1,1,1,1
45,chr1,1951624,1951824,.,0,1,0,0,0
46,chr1,1978786,1978986,.,0,0,0,1,0
47,chr1,2068662,2068862,.,0,0,1,0,0
48,chr1,2111836,2112036,.,0,0,1,0,1
49,chr1,2135826,2136026,.,0,1,0,1,1
50,chr1,2140151,2140351,.,1,0,1,1,1
51,chr1,2172169,2172369,.,0,0,0,1,1
52,chr1,2230668,2230868,.,1,1,0,0,0
53,chr1,2231945,2232145,.,0,1,0,0,0
54,chr1,2232582,2232782,.,0,1,0,0,0
55,chr1,2245775,2245975,.,0,0,1,1,0
56,chr1,2246621,2246821,.,0,1,0,1,1
57,chr1,2253598,2253798,.,1,0,0,0,0
58,chr1,2254051,2254251,.,0,0,1,0,0
59,chr1,2477559,2477759,.,0,1,1,1,1
60,chr1,2478373,2478573,.,1,1,1,0,1
61,chr1,2509754,2509954,.,0,1,1,1,0
62,chr1,2574000,2574200,.,0,1,1,0,0
63,chr1,2574604,2574804,.,1,1,1,1,1
64,chr1,3087012,3087212,.,0,0,0,1,0
65,chr1,3135955,3136155,.,0,0,0,1,0
66,chr1,3229764,3229964,.,0,0,0,1,0
67,chr1,3231127,3231327,.,0,0,0,1,0
68,chr1,3232738,3232938,.,0,0,0,1,0
69,chr1,3237189,3237389,.,0,0,0,1,0
70,chr1,3243439,3243639,.,0,0,0,1,0
71,chr1,3251789,3251989,.,0,0,0,1,0
72,chr1,3267443,3267643,.,0,0,0,1,0
73,chr1,3373717,3373917,.,0,0,0,1,0
74,chr1,3374866,3375066,.,0,0,1,1,0
