,chromosome,start,end,strand,A549,GM12878,HELAS3,HEPG2,K562
0,chr1,839745,840245,.,1,0,1,0,1
1,chr1,840731,841231,.,0,1,1,0,1
2,chr1,845331,845831,.,0,0,0,0,1
3,chr1,855710,856210,.,0,0,1,0,0
4,chr1,856398,856898,.,0,0,1,0,1
5,chr1,858202,858702,.,0,0,1,0,0
6,chr1,918252,918752,.,0,1,1,1,1
7,chr1,936645,937145,.,0,0,1,1,0
8,chr1,941713,942213,.,0,0,0,1,0
9,chr1,945651,946151,.,0,1,1,1,1
10,chr1,956437,956937,.,1,1,1,1,1
11,chr1,993438,993938,.,0,0,0,1,1
12,chr1,994075,994575,.,0,1,1,1,1
13,chr1,1004566,1005066,.,1,1,1,1,1
14,chr1,1005170,1005670,.,0,0,0,0,1
15,chr1,1008554,1009054,.,0,0,0,0,1
16,chr1,1014714,1015214,.,1,1,1,1,1
17,chr1,1060750,1061250,.,0,0,0,1,1
18,chr1,1063762,1064262,.,0,0,0,1,0
19,chr1,1070698,1071198,.,0,0,1,0,1
20,chr1,1093534,1094034,.,0,1,0,0,0
21,chr1,1107064,1107564,.,0,1,0,0,0
22,chr1,1136019,1136519,.,0,1,0,0,1
23,chr1,1136656,1137156,.,0,1,0,0,1
24,chr1,1144212,1144712,.,0,1,0,0,0
25,chr1,1173311,1173811,.,0,1,0,1,0
26,chr1,1186199,1186699,.,0,1,0,0,0
27,chr1,1265578,1266078,.,0,0,1,0,1
28,chr1,1283092,1283592,.,0,0,1,1,0
29,chr1,1286630,1287130,.,1,0,1,0,0
30,chr1,1294608,1295108,.,0,0,1,0,0
31,chr1,1295683,1296183,.,1,0,1,1,1
32,chr1,1343313,1343813,.,0,1,1,1,1
33,chr1,1368378,1368878,.,0,0,1,1,1
34,chr1,1609491,1609991,.,0,1,0,0,0
35,chr1,1611709,1612209,.,0,0,0,0,1
36,chr1,1706741,1707241,.,0,1,0,0,0
37,chr1,1708836,1709336,.,0,1,1,1,1
38,chr1,1714117,1714617,.,0,1,0,0,1
39,chr1,1744179,1744679,.,0,1,0,1,1
40,chr1,1771932,1772432,.,0,0,1,0,0
41,chr1,1793595,1794095,.,0,0,1,1,0
42,chr1,1802958,1803458,.,1,1,0,1,1
43,chr1,1814693,1815193,.,1,1,1,1,1
44,chr1,1840392,1840892,.,0,1,1,1,1
45,chr1,1951340,1951840,.,0,1,0,0,0
46,chr1,1978584,1979084,.,0,0,0,1,0
47,chr1,2068509,2069009,.,0,0,1,0,0
48,chr1,2111504,2112004,.,0,0,1,0,1
49,chr1,2135785,2136285,.,0,1,0,1,1
50,chr1,2139994,2140494,.,1,0,1,1,1
51,chr1,2172013,2172513,.,0,0,0,1,1
52,chr1,2230536,2231036,.,1,1,0,0,0
53,chr1,2231688,2232188,.,0,1,0,0,0
54,chr1,2232412,2232912,.,0,1,0,0,0
55,chr1,2245695,2246195,.,0,0,1,1,0
56,chr1,2246409,2246909,.,0,1,0,1,1
57,chr1,2253447,2253947,.,1,0,0,0,0
58,chr1,2253905,2254405,.,0,0,1,0,0
59,chr1,2477443,2477943,.,0,1,1,1,1
60,chr1,2478296,2478796,.,1,1,1,0,1
61,chr1,2509700,2510200,.,0,1,1,1,0
62,chr1,2573861,2574361,.,0,1,1,0,0
63,chr1,2574303,2574803,.,1,1,1,1,1
64,chr1,3086876,3087376,.,0,0,0,1,0
65,chr1,3135860,3136360,.,0,0,0,1,0
66,chr1,3229684,3230184,.,0,0,0,1,0
67,chr1,3230973,3231473,.,0,0,0,1,0
68,chr1,3232589,3233089,.,0,0,0,1,0
69,chr1,3237091,3237591,.,0,0,0,1,0
70,chr1,3243289,3243789,.,0,0,0,1,0
71,chr1,3251639,3252139,.,0,0,0,1,0
72,chr1,3267293,3267793,.,0,0,0,1,0
73,chr1,3373611,3374111,.,0,0,0,1,0
74,chr1,3374871,3375371,.,0,0,1,1,0
75,chr1,3377056,3377556,.,0,0,0,1,0
76,chr1,3398739,3399239,.,0,0,1,1,0
77,chr1,3420663,3421163,.,0,0,1,0,0
78,chr1,3459802,3460302,.,0,0,1,0,0
79,chr1,3463847,3464347,.,0,0,1,0,0
80,chr1,3521140,3521640,.,1,0,0,0,0
81,chr1,3573221,3573721,.,0,1,0,0,0
82,chr1,3581207,3581707,.,0,1,0,0,0
83,chr1,3581971,3582471,.,0,1,0,0,0
84,chr1,3590130,3590630,.,0,1,0,0,0
85,chr1,3593991,3594491,.,0,1,0,0,0
86,chr1,3609107,3609607,.,0,1,0,0,0
87,chr1,3619930,3620430,.,0,0,0,0,1
88,chr1,3634550,3635050,.,0,1,0,0,0
89,chr1,3727863,3728363,.,0,0,1,0,0
90,chr1,3817609,3818109,.,0,1,1,1,1
91,chr1,4327439,4327939,.,0,1,0,1,0
92,chr1,4394280,4394780,.,0,0,0,0,1
93,chr1,5172603,5173103,.,0,0,0,0,1
94,chr1,5957089,5957589,.,0,0,0,1,0
95,chr1,6040433,6040933,.,0,0,1,0,0
96,chr1,6053605,6054105,.,0,1,1,0,1
97,chr1,6054710,6055210,.,0,1,1,0,0
98,chr1,6088121,6088621,.,0,1,0,0,0
99,chr1,6221367,6221867,.,0,0,1,0,0
100,chr1,6230811,6231311,.,0,0,0,1,0
101,chr1,6319885,6320385,.,0,1,1,0,0
102,chr1,6321514,6322014,.,0,0,0,0,1
103,chr1,6337704,6338204,.,0,0,1,0,0
104,chr1,6341769,6342269,.,0,0,0,1,0
105,chr1,6350113,6350613,.,0,1,0,0,0
106,chr1,6351022,6351522,.,0,1,0,0,0
107,chr1,6353966,6354466,.,0,1,1,0,0
108,chr1,6451545,6452045,.,0,0,1,0,1
109,chr1,6661073,6661573,.,0,1,1,1,1
110,chr1,6708905,6709405,.,0,1,1,1,0
111,chr1,6760651,6761151,.,0,0,0,1,1
112,chr1,6894453,6894953,.,0,1,1,0,1
113,chr1,6943767,6944267,.,0,1,1,1,1
114,chr1,7177540,7178040,.,0,0,1,0,1
115,chr1,7289666,7290166,.,0,0,1,0,0
116,chr1,7313132,7313632,.,0,0,0,1,0
117,chr1,7327583,7328083,.,0,0,1,0,0
118,chr1,7359297,7359797,.,0,0,1,0,0
119,chr1,7461894,7462394,.,1,0,1,0,0
120,chr1,7531051,7531551,.,0,0,1,0,0
121,chr1,7540276,7540776,.,0,0,1,0,0
122,chr1,7609260,7609760,.,1,0,1,0,0
123,chr1,7764487,7764987,.,1,0,1,1,1
124,chr1,7813491,7813991,.,0,0,0,1,0
125,chr1,7843354,7843854,.,1,0,1,1,1
126,chr1,8054157,8054657,.,0,1,1,1,1
127,chr1,8070015,8070515,.,1,0,0,1,1
128,chr1,8076387,8076887,.,0,0,0,1,0
129,chr1,8107752,8108252,.,0,0,1,0,0
130,chr1,8121259,8121759,.,1,0,0,1,0
131,chr1,8137161,8137661,.,0,0,1,1,0
132,chr1,8154475,8154975,.,0,0,1,1,0
133,chr1,8156575,8157075,.,0,1,1,1,1
134,chr1,8157348,8157848,.,0,1,1,1,0
135,chr1,8180878,8181378,.,0,0,1,1,0
136,chr1,8187047,8187547,.,0,0,1,0,0
137,chr1,8187448,8187948,.,0,0,0,1,0
138,chr1,8197961,8198461,.,0,0,1,1,0
139,chr1,8214653,8215153,.,0,0,0,1,0
140,chr1,8215600,8216100,.,0,0,0,1,0
